gold,prompt,task_name
46.72999954223633,"For clinical trial NCT01556776, review the more effective regimen ingredients and identify which ingredient starts with the letter L.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
BRISTOL MYERS SQUIBB,"First, for clinical trial NCT01556776 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
Not_Listed,"For clinical trial NCT00006232, review the more effective regimen ingredients and identify which ingredient starts with the letter D.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
ZHUHAI BEIHAI BIOTECH CO LTD,"First, for clinical trial NCT02775006 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
15.989999771118164,"For clinical trial NCT00974311, review the more effective regimen ingredients and identify which ingredient starts with the letter E.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
Not_Listed,"For clinical trial NCT00032175, review the more effective regimen ingredients and identify which ingredient starts with the letter G.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
"Mar 5, 2036","First, for clinical trial NCT01231412 among the more effective regimen ingredients, identify which ingredient starts with the letter S.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
Not_Listed,"For clinical trial NCT00026338, review the more effective regimen ingredients and identify which ingredient starts with the letter G.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
PACLITAXEL,"For clinical trial NCT03838159. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with P
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
DOCETAXEL,"For clinical trial NCT02775006. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
,"For clinical trial NCT03588091 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
"Oct 3, 2026","For clinical trial NCT03234972 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
"Aug 3, 2027","First, for clinical trial NCT00004001 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
"Jan 24, 2026","First, for clinical trial NCT00003934 among the more effective regimen ingredients, identify which ingredient starts with the letter M.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
,"For clinical trial NCT00115700 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
OTTER PHARMACEUTICALS LLC,"First, for clinical trial NCT01345682 among the more effective regimen ingredients, identify which ingredient starts with the letter M.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
"Jul 1, 2033","First, for clinical trial NCT00032175 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
"Dec 18, 2037","First, for clinical trial NCT01564537 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
DOCETAXEL,"For clinical trial NCT00424606. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
62.20000076293945,"For clinical trial NCT01720225, review the more effective regimen ingredients and identify which ingredient starts with the letter A.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
ASTELLAS PHARMA US INC,"First, for clinical trial NCT02294461 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
CYCLOPHOSPHAMIDE,"For clinical trial NCT00115700. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with C
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
BRISTOL MYERS SQUIBB,"First, for clinical trial NCT01122472 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
DEXCEL PHARMA TECHNOLOGIES LTD,"First, for clinical trial NCT01296503 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
24.75,"For clinical trial NCT03117049, review the more effective regimen ingredients and identify which ingredient starts with the letter P.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
,"For clinical trial NCT02162719 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
ZHUHAI BEIHAI BIOTECH CO LTD,"First, for clinical trial NCT00391092 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
"Aug 24, 2029","For clinical trial NCT01973387 among the more effective regimen ingredients, identify which ingredient starts with the letter I.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
PF PRISM CV,"First, for clinical trial NCT02838420 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
,"For clinical trial NCT00379041 among the more effective regimen ingredients, identify which ingredient starts with the letter M.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
"May 28, 2026","For clinical trial NCT01122472 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
,"For clinical trial NCT01298713 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
"May 12, 2027","First, for clinical trial NCT02838420 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
,"For clinical trial NCT00121992 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
"Nov 17, 2026","For clinical trial NCT02294461 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
"Oct 3, 2026","For clinical trial NCT00012051 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
24.75,"For clinical trial NCT00003643, review the more effective regimen ingredients and identify which ingredient starts with the letter P.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
25.06999969482422,"For clinical trial NCT01231412, review the more effective regimen ingredients and identify which ingredient starts with the letter S.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
,"For clinical trial NCT00022191 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
Not_Listed,"For clinical trial NCT00022191, review the more effective regimen ingredients and identify which ingredient starts with the letter G.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
Not_Listed,"For clinical trial NCT00121992, review the more effective regimen ingredients and identify which ingredient starts with the letter D.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
DEXAMETHASONE,"For clinical trial NCT01296503. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
24.75,"For clinical trial NCT02162719, review the more effective regimen ingredients and identify which ingredient starts with the letter P.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
,"For clinical trial NCT00222677 among the more effective regimen ingredients, identify which ingredient starts with the letter A.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
"Apr 27, 2027","First, for clinical trial NCT01556776 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
"Dec 18, 2037","First, for clinical trial NCT00006232 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
,"For clinical trial NCT00424606 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
,"For clinical trial NCT00005945 among the more effective regimen ingredients, identify which ingredient starts with the letter M.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
62.20000076293945,"For clinical trial NCT00071799, review the more effective regimen ingredients and identify which ingredient starts with the letter A.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
ASTELLAS PHARMA US INC,"First, for clinical trial NCT01949337 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
6.900000095367432,"For clinical trial NCT03110562, review the more effective regimen ingredients and identify which ingredient starts with the letter S.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
BRISTOL-MYERS SQUIBB CO,"First, for clinical trial NCT02162719 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
BRISTOL MYERS SQUIBB,"First, for clinical trial NCT01029262 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
24.75,"For clinical trial NCT03019588, review the more effective regimen ingredients and identify which ingredient starts with the letter P.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
DEXAMETHASONE,"For clinical trial NCT03234972. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
PHARMACYCLICS LLC,"First, for clinical trial NCT01973387 among the more effective regimen ingredients, identify which ingredient starts with the letter I.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
OTTER PHARMACEUTICALS LLC,"First, for clinical trial NCT00003013 among the more effective regimen ingredients, identify which ingredient starts with the letter M.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
"May 1, 2026","First, for clinical trial NCT01298713 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
AMRING PHARMACEUTICALS INC,"First, for clinical trial NCT00355108 among the more effective regimen ingredients, identify which ingredient starts with the letter T.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name
46.72999954223633,"For clinical trial NCT01029262, review the more effective regimen ingredients and identify which ingredient starts with the letter L.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
,"For clinical trial NCT00806819 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
LENALIDOMIDE,"For clinical trial NCT01029262. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with L
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
24.75,"For clinical trial NCT00003691, review the more effective regimen ingredients and identify which ingredient starts with the letter P.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
Not_Listed,"For clinical trial NCT00379041, review the more effective regimen ingredients and identify which ingredient starts with the letter M.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval
PREDNISONE,"For clinical trial NCT00004001. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with P
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient
"Jan 24, 2026","First, for clinical trial NCT01345682 among the more effective regimen ingredients, identify which ingredient starts with the letter M.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text
,"For clinical trial NCT00003013 among the more effective regimen ingredients, identify which ingredient starts with the letter M.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date
